name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Dragonfire DEM Torpedo (Single),jdp_singledragon,5,0,2000,1200,,4000,,15,20,12,1,,,ENERGY,0,,0,10,1,,0,0,0,0,,150,0,12,600,,,"GUIDED_POOR, STRIKE, SYSTEM","strike8, missile3, merc, rare_bp, damage_special, damage_soft_flux, no_drop, no_drop_salvage, restricted,",,,,Torpedo,Slow,Good,,,"The missile fires a high-powered laser when it gets near the target, dealing approximately %s energy damage in a short burst. This damage is affected by missile damage modifiers and not energy weapon ones.",4000,,,TRUE,12.11
Dual Gazer SRM,jdp_dualgazer,5,0,1300,1600,,400,,15,10,9,2,,,KINETIC,0,,0,10,2,,0,0,0,0,,150,25,5,250,,,"DO_NOT_AIM, SYSTEM","missile12, merc, rare_bp, damage_special, damage_soft_flux, no_drop, no_drop_salvage, restricted,",,,,Suppression,Slow,Good,,,"Each missile fires a graviton beam at the target, dealing approximately %s kinetic damage over the course of %s seconds. This damage is affected by missile damage modifiers and not energy weapon ones.",1000 | 10,,,TRUE,12.21
Nariman LRM Launcher,jdp_nariman,5,0,7500,10000,,1500,3000,60,8,24,12,0.25,6,ENERGY,0,,0,15,6,0.5,0,0,0,0,,350,150,60,1000,,,"DO_NOT_AIM, DO_NOT_CONSERVE, SYSTEM, SHOW_IN_CODEX","missile20, strike13, utility15, rare_bp, hist1t, merc, ind, codex_unlockable, no_drop, no_drop_salvage, restricted,",,,,Long Range Support,Fast,Medium,,,,1000 | 1500,,,,100.5
Salamander MRM,jdp_heatseeker,1,,225,2000,,100,1500,15,30,3,,,,FRAGMENTATION,0,,0,25,1,,0,0,0,,,400,50,15,150,,,"DO_NOT_AIM, HEATSEEKER, SYSTEM","utility13, missile0, missile_bp, merc, ind, no_drop, no_drop_salvage, restricted,",,,,Anti Engine,Fast,Excellent,,,,,,,TRUE,11.25
Cargo IED Launcher,jdp_cargo,1,,6000,12000,,2000,0,60,2,25,3,0.026,1,HIGH_EXPLOSIVE,1000,,,20,1,,0,0,0,0,,300,35,60,600,,,"DO_NOT_AIM, DIRECT_AIM, STRIKE, SYSTEM, SHOW_IN_CODEX","missile18, strike15, codex_unlockable, no_drop, no_drop_salvage, restricted,",,,,Artillery,Medium,Terrible,,,,,,,,100.5
Tyrant's Eye,jdp_tyrantseye,3,0,10000,900,2000,,,0,7,30,,,,ENERGY,,1500,0.1,0.1,,,,,,,10000,,,,,,,FIRE_WHEN_INEFFICIENT,"energy20, beam15, pd15, LR, no_drop, no_drop_salvage, restricted, codex_unlockable",,,,Suppression,,,,,"Creates blazes of energetic dark-matter along the beam length targeted at nearby enemy missiles and fighters, dealing up to %s energy damage.",400,,,,21
Tyrant's Eye Minelayer,jdp_tyrantseye_minelayer,0,,,,,400,,25,,,,,,ENERGY,0,,,,1,,,,,,,0,0,20,1000,,,SYSTEM,,,Unknown,,,,,,,,,,,,38.5
Huntsman Autocannon,jdp_marlingun,3,0,10000,1200,,1000,500,20,20,20,,,,KINETIC,3000,,0,3.5,2,0.25,0,0,0,0,,1000,,,5,,,"SYSTEM,SHOW_IN_CODEX,FIRE_WHEN_INEFFICIENT","no_drop, no_drop_salvage, restricted,",,Flowerfish Mercenary Network,,Special Anti-Shield,,,,,"%s The use of the ship system loads this weapon with a %s, a potent electronic warfare vector upon direct hull hit.",Alternate Ordinance: | Bluescreen Round,,,,
(Bluescreen Round),jdp_marlingun_bluescreen,3,,,1200,,1000,500,20,20,20,,,,KINETIC,3000,,0,3.5,1,5,0,0,0,0,,1000,,,5,,,"SYSTEM,SHOW_IN_CODEX,FIRE_WHEN_INEFFICIENT","no_drop, no_drop_salvage, restricted,",,,,,,,,,,,,,,
(Bluescreen Round Submunition),jdp_marlingun_bluescreen_sub,3,,,1200,,500,1000,20,20,20,,,,KINETIC,3000,,0,3.5,1,5,0,0,0,0,,1000,,,5,,,"SYSTEM,SHOW_IN_CODEX,FIRE_WHEN_INEFFICIENT","no_drop, no_drop_salvage, restricted,",,,,,,,,,,,,,,
Belligerent Tirocannon,jdp_beleagure_gun,0,,10000,1000,,400,,30,8,38,,,,KINETIC,200,,0,2,8,0.1,0,10,1,5,,800,,,100,,,"SYSTEM,SHOW_IN_CODEX","no_drop, no_drop_salvage, restricted,",,,,Anti Shield,,,,,,,,,,7.25
Antimatter Injector,jdp_antimatter_injector,3,,10000,600,,125,,3,40,22,,,,KINETIC,0,,,0.05,6,0.05,0,0,0,0,,400,,,,,,"SYSTEM,SHOW_IN_CODEX","no_drop, no_drop_salvage, restricted, jdp_engine",,Pirate,,Anti Everything,,,,,,,,,,20
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solar Panel,jdp_solar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,47
Pusher Plate (Midline),jdp_pusherplate_midline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,pusherplate,,,,,,,,,,,,,,42.5
Green Lidar Dish,jdp_lidardish,0,,1,0,100,,,0,200,0,1000,1000,,ENERGY,,0,0.2,0.2,0.35,0,,,,,1000000,,,,,,,SYSTEM,lidar,,,,Special,,,,,,,,,,43.5
Deshret Lidar,jdp_deshretlidar,0,,1,0,100,,,0,200,0,1000,1000,,ENERGY,,0,0.2,0.2,0.35,0,,,,,1000000,,,,,,,SYSTEM,lidar,,,,Special,,,,,,,,,,43.5
Beleagure Lidar,jdp_beleagurelidar,0,,1,0,100,,,0,200,0,1000,1000,,ENERGY,,0,0.2,0.2,0.35,0,,,,,1000000,,,,,,,SYSTEM,lidar,,,,Special,,,,,,,,,,43.5
Sensor Dish,jdp_epistlesensordish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,43
Marlin Deco,jdp_marlin_deco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,42.5
Custodian Eyes,jdp_custodian_eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,eyes,,,,,,,,,,,,,,47
Beleagure Eyes,jdp_beleagure_eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,eyes,,,,,,,,,,,,,,47
Hummingbird Coil,jdp_hummingbird_coil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,47
Large Vector Engine Cap,jdp_eider_vector,,,,1,120,,,,45,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,"no_drop, no_drop_salvage, restricted",,,,,,,,,,,,,,
