name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
#Standard,,,,,,,,,,,,,,,,,,,
Antecedent Device,ix_antecedent,3,0.5,Emergent Technology,"offensive, req_spaceport",Weapons,100000,,,,0,0,0,20,data.hullmods.ix.AntecedentDevice,"Modifies the built-in heavy ordnance launcher aboard an %s, replacing its Vampyr DEM Cruise Missile with the experimental %s. This highly restricted technology is usually entrusted only to Fleet Command Honor Guard captains, although it is not outside of the realm of possibility that the schematics might be found in a long abandoned Domain research facility.",Replaces Vampyr DEM on Odyssey (IX) with Antecedent Device.,,graphics/hullmods/ix_antecedent.png
Ground Invasion Conversion,ix_ground_invasion_conversion,1,,Emergent Technology,"special, req_spaceport","Logistics, Requires Dock",5000,,,,5,10,15,25,data.hullmods.ix.GroundInvasionConversion,"Converts a Buffalo (IX) or Banteng (IX) freighter into an advanced ground attack ship, capable of launching orbital drop pods and precision bombardments. The expertise of the IX Battlegroup grants their transport ships superior ground assault performance compared to similar conversions done elsewhere.

Decreases cargo capacity by %s. Buffalo increases maximum crew capacity by %s and planetary raid strength by %s. Banteng increases maximum crew capacity by %s and planetary raid strength by %s. Raid bonus is limited by the total number of marines in the fleet.

Not compatible with standard Ground Attack Conversion.",Converts Buffalo or Banteng for ground attack.,,graphics/hullmods/ground_support_adv.png
Laser Collimator,ix_laser_collimator,3,,Emergent Technology,"tritachyon, offensive",Weapons,10000,,,,4,8,12,20,data.hullmods.ix.LaserCollimator,"Enhances standard continuous emission combat lasers to disrupt shields. Equipped %s, %s, and %s deal hard flux damage to shields. The system requires its own dedicated flux distributor, and reduces flux dissipation by %s/%s/%s/%s. Hard flux effect does not apply to other beam weapons, including closely related derivatives.

Cannot be installed on ships with Advanced Optics, High Scatter Amplifier, or Adaptive/Attuned Emitter Diodes. ",Combat lasers deal hard flux.,Flux dissipation penalty limited to %s/%s/%s/%s. ,graphics/hullmods/ix_laser_collimator.png
Reactive Combat Shields,ix_reactive_combat_shields,3,,Emergent Technology,"tritachyon, shields, defensive",Shields,10000,,,,4,8,12,20,data.hullmods.ix.ReactiveCombatShields,"Modifies low powered shield emitters for short bursts of improved performance during critical moments. Reduces damage to shields by %s and reduces EMP arcs piercing shields while flux levels exceed %s. Can be installed on any ship with a shield emitter, but the enhancement will only activate if the shield efficiency is worse than %s. Incompatible with Hardened Shields.",Drastically reduce shield damage at high flux.,Reactive shields will activate above %s flux.,graphics/hullmods/ix_reactive_combat_shields.png
System Reset,ix_system_reset,1,,Emergent Technology,,,0,TRUE,,,0,0,0,0,data.hullmods.ix.SystemReset,"The captains of the IX Battlegroup Honor Guard have access to the finest forge artisans of the Fleet, who will furnish their ships with further upgrades. However, these are rewards for victory in battle, and it is customary for a new captain inheriting an older ship to remove any existing upgrades before they are earned. The disassembly mechanism is itself custom fitted technology, and you are unlikely to obtain another example of it for this ship, but the existing one is ready for use.

%s from Honor Guard ship. Any player installed s-mods will not be refunded. Can only be used once per ship.",Removes s-mods from ship.,,graphics/hullmods/ix_system_reset.png
Terminus Relay,ix_terminus_relay,3,,Emergent Technology,special,Fighters,10000,,,,0,0,0,10,data.hullmods.ix.TerminusRelay,"Replace High Resolution Sensors aboard an %s with a %s drone bay, controlled by a specialized tactical AI that improves drone damage against fighters and missiles by %s, weapon range by %s, and grants the drones superior point defense accuracy.",Improves drone performance.,"Enable the Terminus Relay to periodically emit charged particle streams that are redirected by the deployed drones. With every firing cycle, each drone automatically strikes the nearest enemy ship within %s su, inflicting %s energy and %s EMP damage per drone strike.",graphics/hullmods/ix_terminus_relay.png
      System Inhibitor,ix_system_inhibitor,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ix.SystemInhibitor,(Hidden) Reduces ship flux capacity to 0 to prevent system activation.,,,
,,,,,,,,,,,,,,,,,,,
#Built-in,,,,,,,,,,,,,,,,,,,
